1,Greenwood High School,"-86.120181 39.606359 -86.120181 39.606026 -86.113992 39.606026 -86.113992 39.606359",polyline,25
2,Greenwood Middle School," -86.120692 39.596423 -86.121068 39.596423 -86.121068 39.593504 -86.120720 39.593504",polyline,25
3,Westwood Elementary School," -86.134890 39.603443 -86.135166 39.603443 -86.135166 39.601397 -86.134890 39.601397",polyline,25
4,Our Lady of the Greenwood Catholic School,"  -86.106177 39.609982 -86.106459 39.609982 -86.106459 39.607387 -86.106148 39.607387",polyline,25
